GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Junb,6471.81092,0.736485431,0.151442293,4.863142364,1.16E-06,4.43E-05
Cdkl4,238.7504154,-1.182383085,0.24317791,-4.862214194,1.16E-06,4.44E-05
Ttc9,1571.433046,0.77752666,0.159964236,4.860628096,1.17E-06,4.47E-05
Nell2,2589.029262,-0.528733161,0.10883234,-4.858235717,1.18E-06,4.51E-05
Fah,240.1805093,0.817614676,0.168628481,4.848615553,1.24E-06,4.71E-05
Sox8,116.4300334,-1.1527038,0.237725868,-4.84887829,1.24E-06,4.71E-05
Patj,264.7363505,0.668127006,0.137882314,4.845632401,1.26E-06,4.77E-05
Pvt1,175.1499806,0.903399167,0.186830787,4.835387058,1.33E-06,5.01E-05
Apol8,26.78069832,1.24504344,0.25775299,4.83037439,1.36E-06,5.13E-05
Asic3,266.6438635,0.750590508,0.155466915,4.827975829,1.38E-06,5.17E-05
Aspa,85.34092525,1.045687043,0.216573451,4.828325163,1.38E-06,5.17E-05
Atp9a,6305.745861,0.365806629,0.075784358,4.826941069,1.39E-06,5.18E-05
Htr7,367.270858,0.67446869,0.139741968,4.8265292,1.39E-06,5.18E-05
Sox2,1201.422291,-0.852560895,0.176712014,-4.824578006,1.40E-06,5.22E-05
Otud1,580.1480128,0.84299238,0.17476261,4.823642648,1.41E-06,5.23E-05
Cntnap5a,316.4762297,0.975645977,0.20230786,4.822580686,1.42E-06,5.25E-05
Rhbdl1,183.6204501,0.753583821,0.156295374,4.821536322,1.42E-06,5.27E-05
Zfp618,1586.339741,-0.337692875,0.070087298,-4.81817511,1.45E-06,5.34E-05
Col14a1,4048.382775,0.930985375,0.193365824,4.814632463,1.47E-06,5.43E-05
Erich3,94.76189817,0.934418395,0.194175596,4.812233949,1.49E-06,5.48E-05
Cd55,440.4382657,1.008754404,0.20980468,4.808064354,1.52E-06,5.58E-05
Sik1,1917.560591,0.863808695,0.179808584,4.804045924,1.55E-06,5.68E-05
Tshz3,719.7060684,0.7142023,0.148781616,4.800339699,1.58E-06,5.78E-05
Has1,56.55497946,1.284844027,0.267740633,4.798838378,1.60E-06,5.80E-05
Hist1h4m,14.19308992,-1.30312381,0.271564301,-4.798582893,1.60E-06,5.80E-05
Cdhr1,2111.141323,-1.049738223,0.218781263,-4.798117573,1.60E-06,5.80E-05
Cdcp2,18.76360974,-1.250090084,0.26056739,-4.797569188,1.61E-06,5.80E-05
Fam110a,357.6890188,-0.867004749,0.180793872,-4.795542789,1.62E-06,5.85E-05
Irf2bp2,3054.898591,0.619164897,0.129125246,4.795072348,1.63E-06,5.85E-05
Mrap2,33.70172513,1.160708415,0.242446466,4.787483344,1.69E-06,6.06E-05
Slc6a15,1861.390343,0.631070278,0.131946726,4.782765706,1.73E-06,6.19E-05
Gabra1,31.77474921,1.209099113,0.252875087,4.781408594,1.74E-06,6.20E-05
Hist1h2bj,16.11960923,-1.333584963,0.278907097,-4.781466574,1.74E-06,6.20E-05
Nfkbiz,1551.755204,1.286565163,0.269073405,4.781465358,1.74E-06,6.20E-05
Abhd14a,683.5790063,0.392131057,0.082067893,4.778129955,1.77E-06,6.28E-05
Rnf122,1141.2083,-0.581045463,0.121631811,-4.777084683,1.78E-06,6.30E-05
Pcp4,481.8963481,0.852778585,0.178553985,4.776026624,1.79E-06,6.32E-05
Pirt,9389.13564,0.42386683,0.088789245,4.773853294,1.81E-06,6.38E-05
Pcdh15,424.8220238,-0.824904319,0.172968616,-4.769098211,1.85E-06,6.52E-05
Rasgef1c,124.4649291,0.680865687,0.142829723,4.766974795,1.87E-06,6.57E-05
Ago1,3621.673195,-0.435680009,0.091466715,-4.763262889,1.90E-06,6.65E-05
Synpr,529.665639,0.968588521,0.203325404,4.763735874,1.90E-06,6.65E-05
Wdr5b,191.7500518,-0.697244893,0.146374971,-4.763416094,1.90E-06,6.65E-05
Zfp111,203.4432041,-0.754052913,0.158501322,-4.757391942,1.96E-06,6.83E-05
Bcam,969.6685723,0.553436156,0.116380753,4.755392458,1.98E-06,6.88E-05
Adam23,1646.24791,0.601195653,0.126448214,4.754481177,1.99E-06,6.89E-05
Fmnl1,261.4457561,0.927881758,0.195155819,4.754568749,1.99E-06,6.89E-05
Cck,133.1113823,0.758418985,0.159717867,4.748491825,2.05E-06,7.08E-05
Mgp,154.8479305,1.171176257,0.246902936,4.743468323,2.10E-06,7.24E-05
Spry4,991.4668413,0.561405146,0.118606743,4.733332446,2.21E-06,7.60E-05
Cd44,1047.623273,0.86873207,0.18365745,4.730176049,2.24E-06,7.70E-05
Thra,6481.208396,0.498389077,0.105417324,4.727772051,2.27E-06,7.77E-05
Slc9a6,1440.638337,0.688031694,0.145586403,4.725933726,2.29E-06,7.83E-05
Cdca7,306.1865667,-0.765131766,0.16194543,-4.724627083,2.31E-06,7.86E-05
D030047H15Rik,35.32994181,-0.992501355,0.210208357,-4.721512367,2.34E-06,7.97E-05
Cntnap4,1381.559504,0.659119692,0.139701543,4.71805591,2.38E-06,8.09E-05
Rab11fip5,815.6087628,0.5274916,0.11182592,4.717078105,2.39E-06,8.11E-05
Exog,686.6938667,-0.392016851,0.083161054,-4.713947603,2.43E-06,8.22E-05
Necab1,479.4091619,1.012929653,0.214998409,4.711335584,2.46E-06,8.31E-05
Kcnb1,2561.793301,0.452664952,0.096101831,4.710263541,2.47E-06,8.33E-05
Klf2,2832.01125,0.754488634,0.160273576,4.707504835,2.51E-06,8.43E-05
Cryba1,112.8760616,-1.298653458,0.275909134,-4.706815749,2.52E-06,8.44E-05
Hipk2,810.2413223,-0.525160042,0.111665822,-4.702961316,2.56E-06,8.58E-05
Man2c1,1460.499723,0.513393079,0.109252496,4.699142806,2.61E-06,8.73E-05
Hoxb8,2083.176265,-0.978018663,0.208353378,-4.694037949,2.68E-06,8.93E-05
Unc80,314.5721158,1.013116624,0.216102591,4.688128082,2.76E-06,9.17E-05
Kcnn2,98.6695794,1.160547215,0.247984249,4.679923094,2.87E-06,9.53E-05
Lgi3,89.48164949,0.903397133,0.193174366,4.676589094,2.92E-06,9.67E-05
Ckap2,425.5208588,-0.457761154,0.097892261,-4.676173072,2.92E-06,9.67E-05
Camk1d,449.1400054,0.867604338,0.185578082,4.675144447,2.94E-06,9.69E-05
Chd7,2539.022861,-0.395873536,0.084791631,-4.668780751,3.03E-06,9.98E-05
Crtac1,1303.315694,0.581014145,0.124608911,4.66270139,3.12E-06,0.000102586
Gramd1c,52.67722677,1.046171774,0.224447773,4.661092238,3.15E-06,0.000102812
Hrh3,88.70175177,-1.128689771,0.242155549,-4.661011379,3.15E-06,0.000102812
Kcnd3,735.8446654,0.73258572,0.157165791,4.661228844,3.14E-06,0.000102812
Mcam,5500.38437,0.715936221,0.153847388,4.653548114,3.26E-06,0.000106393
Pcdh9,754.7061085,0.848326171,0.182450832,4.649615254,3.33E-06,0.000108226
Rsl1,59.74607442,-0.862530025,0.185575849,-4.64785709,3.35E-06,0.000108935
Khdc4,1377.409476,-0.351669557,0.075672167,-4.647277493,3.36E-06,0.000109025
Cxcr4,327.8341955,-1.081673578,0.232960724,-4.64315855,3.43E-06,0.000110877
Syt9,1369.087083,0.602590212,0.129785145,4.642982913,3.43E-06,0.000110877
Arhgap25,179.338326,0.71753037,0.154606269,4.641017321,3.47E-06,0.000111716
Dgkz,5919.040141,0.529189967,0.114035051,4.640590436,3.47E-06,0.000111727
Ccdc182,109.7979015,-1.226499773,0.264484772,-4.637317173,3.53E-06,0.000113287
Fbxl4,404.8111358,0.554232496,0.119636917,4.632621022,3.61E-06,0.000115661
Mapk3,4976.833166,0.360591611,0.077869647,4.630708161,3.64E-06,0.000116507
Prss23,952.0278643,0.809562485,0.174933196,4.627837965,3.70E-06,0.000117902
Nt5e,39.55909441,1.115569681,0.241151233,4.626016901,3.73E-06,0.000118711
Gpr27,906.048412,0.539035868,0.116838207,4.613523947,3.96E-06,0.000125833
Tshz2,2561.618775,0.703879075,0.152737799,4.608414428,4.06E-06,0.000128714
Syt1,3352.847025,0.706170549,0.153373333,4.604259001,4.14E-06,0.000131056
Kcnt1,656.8506126,0.886364479,0.192678347,4.600228788,4.22E-06,0.000133359
Fancc,292.271335,-0.60224704,0.13097421,-4.598210892,4.26E-06,0.000134397
Sema3b,938.2829653,0.689452931,0.149999056,4.596381795,4.30E-06,0.00013532
Slc2a3,1212.078163,0.745450539,0.162229325,4.595041856,4.33E-06,0.000135931
Fbxw9,809.042136,0.362560195,0.078920355,4.594001051,4.35E-06,0.000136349
Ccdc184,735.0269936,0.719796649,0.156708617,4.593216768,4.36E-06,0.0001366
Adam12,895.1968635,0.719751685,0.156714711,4.592751253,4.37E-06,0.000136644
Sall1,118.7321339,-1.255666226,0.273498636,-4.591124276,4.41E-06,0.000137451
Sync,372.4407686,0.540909359,0.117837606,4.590294886,4.43E-06,0.000137735
Scamp5,2197.376227,0.378141702,0.082465258,4.585466801,4.53E-06,0.000140689
Adcyap1r1,1207.172638,-0.840363118,0.183293143,-4.584803912,4.54E-06,0.000140868
Sytl3,73.10873713,0.8612487,0.187891391,4.583758169,4.57E-06,0.000141307
Lsamp,1752.395822,0.805154725,0.175713711,4.582196343,4.60E-06,0.000142097
Trim17,48.5726187,-0.97242535,0.212306141,-4.580297805,4.64E-06,0.000143123
Kcnk4,46.68138199,0.898257252,0.19613922,4.579692177,4.66E-06,0.000143267
Sox1,31.87811401,-1.294825642,0.282766484,-4.579134071,4.67E-06,0.00014338
App,16315.54593,0.30574063,0.06680349,4.576716451,4.72E-06,0.000144774
Catsperz,145.7112805,0.69562128,0.152138237,4.572297487,4.82E-06,0.000147585
Ache,1529.472011,0.751655268,0.16447526,4.570020241,4.88E-06,0.000148641
Ntng1,542.6961421,0.471345678,0.103138183,4.570040563,4.88E-06,0.000148641
Rab15,2295.449396,0.448458727,0.098220726,4.565825807,4.98E-06,0.000151363
Igf2bp3,1506.793175,-0.442404861,0.096956107,-4.562939614,5.04E-06,0.000153108
Scn3b,5560.679787,0.346741786,0.075995865,4.562640194,5.05E-06,0.000153108
Wdr66,92.05098316,-1.036378898,0.227219072,-4.56114396,5.09E-06,0.000153918
Calcoco1,1170.287384,-0.475095965,0.10424017,-4.557705183,5.17E-06,0.00015617
Klf6,9957.034872,0.837887529,0.183909919,4.555967044,5.21E-06,0.000157176
Ccn3,355.6178477,0.992602408,0.217953475,4.554194003,5.26E-06,0.000158216
Lars2,1822.22756,-0.876327418,0.19256306,-4.55085944,5.34E-06,0.000160154
Ube2q1,1985.391681,-0.267852128,0.058852585,-4.551238128,5.33E-06,0.000160154
Csdc2,1843.725934,0.462076377,0.101551233,4.55017988,5.36E-06,0.000160378
Fmo2,51.75366413,-1.212222046,0.266612956,-4.546748464,5.45E-06,0.000162716
Rbpj,2653.937572,-0.239150089,0.05262017,-4.544836883,5.50E-06,0.0001639
Kcns1,148.5485646,0.867703946,0.190999407,4.542966699,5.55E-06,0.00016506
Mpzl1,2670.598544,0.285434411,0.062867101,4.540282681,5.62E-06,0.000166872
Hemgn,40.56410503,1.223946337,0.269897857,4.53485015,5.76E-06,0.000170914
Trnp1,838.3709064,0.631588479,0.139429293,4.529811971,5.90E-06,0.000174724
Padi2,894.5430756,-1.045336784,0.230867147,-4.527871537,5.96E-06,0.000176017
Kcna2,2159.690045,0.750165451,0.165718402,4.526748024,5.99E-06,0.000176317
Zdhhc2,2472.654153,0.534917268,0.118164583,4.526883202,5.99E-06,0.000176317
Shisal1,6100.169634,0.629847195,0.139205207,4.52459509,6.05E-06,0.000177801
Dgkh,4638.280765,0.783419047,0.173206471,4.523035659,6.10E-06,0.000178795
Fzd10,176.8076928,-1.010445502,0.223510812,-4.520790254,6.16E-06,0.000179734
Galr2,67.16109857,-0.938036008,0.207467038,-4.521373689,6.14E-06,0.000179734
Ubc,19902.74697,0.428144766,0.094698652,4.521128434,6.15E-06,0.000179734
Ywhah,18185.245,0.273577211,0.060560194,4.517442768,6.26E-06,0.000182272
Ttc39c,927.6283894,0.386555541,0.085599365,4.515869281,6.31E-06,0.000183304
Epas1,1382.970209,0.729019389,0.161527149,4.513293241,6.38E-06,0.000184561
Hist1h4h,27.51206512,-1.079381015,0.239137898,-4.513634275,6.37E-06,0.000184561
Rell2,585.7830271,0.540724618,0.119802528,4.513465831,6.38E-06,0.000184561
Kifc2,1217.704447,0.674210368,0.149453689,4.511165787,6.45E-06,0.000186093
Adamts1,4812.04042,1.193539276,0.264657557,4.50974947,6.49E-06,0.000187009
Piezo2,5967.338092,0.953200917,0.211546396,4.5058717,6.61E-06,0.000190122
Eepd1,2410.241318,0.381635874,0.084730832,4.504096837,6.67E-06,0.000191381
Serpine2,5345.024776,0.420479097,0.093427728,4.500581426,6.78E-06,0.000194232
Layn,157.7075825,0.999343612,0.22213738,4.498763836,6.83E-06,0.000195557
Npffr2,15.89171395,1.269834576,0.282493341,4.49509561,6.95E-06,0.000198611
Tfap2b,187.4015358,-1.26338493,0.281114814,-4.494195494,6.98E-06,0.000199105
Vat1l,1553.166762,0.713800022,0.159009928,4.489028007,7.15E-06,0.00020364
Arl4c,3479.828539,0.814729051,0.181586557,4.486725583,7.23E-06,0.000205494
Ntm,2699.837219,0.502713197,0.112109081,4.484143389,7.32E-06,0.000207637
Rab3d,2747.096419,0.295451143,0.065904242,4.483036837,7.36E-06,0.000208355
Htra3,284.7925353,1.103808349,0.246403098,4.479685355,7.48E-06,0.000211288
Zbtb18,1468.362577,-0.46206333,0.10319968,-4.477371747,7.56E-06,0.000213221
Cdh11,5954.404039,0.534741811,0.119484652,4.475401664,7.63E-06,0.000214469
Kcne1l,1066.052137,-0.922721452,0.206176826,-4.47538877,7.63E-06,0.000214469
Fam102b,10439.31688,0.448297137,0.100246176,4.471962494,7.75E-06,0.00021756
